sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,ads_clicked_last_30_days,content_downloads,social_shares,engagement_score,account_age_days
8,4.54,39.88,19,5,6,18,0,0,15,3,4,1,57.86,124
10,8.81,45.35,10,4,5,11,0,0,10,4,3,3,76.14,907
6,4.89,34.47,9,6,5,10,0,0,29,4,2,2,75.26,177
12,17.07,22.74,16,7,4,9,0,0,5,12,4,3,33.01,106
7,14.31,5.0,18,6,4,13,0,0,25,4,4,0,77.71,100
11,6.26,70.23,16,3,7,23,1,0,5,5,5,1,63.16,29
14,22.59,63.25,12,3,4,12,1,0,39,8,3,1,82.53,442
10,25.32,65.73,10,10,4,10,0,0,32,8,9,1,57.67,522
6,15.65,5.0,13,5,6,9,1,0,10,5,1,1,77.35,585
9,1.2,24.39,5,3,9,4,1,0,23,4,2,1,38.43,921
7,18.58,77.93,8,7,3,20,1,0,14,6,3,0,86.83,505
11,11.8,63.7,5,10,3,17,0,0,10,2,4,4,68.19,248
12,28.49,18.23,12,5,7,16,1,0,17,8,1,2,71.51,576
6,24.22,43.13,12,4,5,14,1,1,9,5,5,2,64.95,832
6,23.51,47.31,13,5,3,11,0,0,10,5,5,4,70.32,1047
6,5.46,43.72,10,4,3,5,0,0,21,6,4,1,55.88,137
10,11.58,23.31,17,11,4,6,1,0,39,9,3,4,64.88,1114
6,7.9,39.09,13,5,2,16,0,0,17,5,3,1,44.75,792
8,4.27,39.94,12,8,4,18,1,0,44,7,3,2,97.66,432
6,7.12,27.97,9,6,4,22,0,0,11,8,3,1,46.38,648
9,19.26,53.08,13,3,3,19,0,0,3,4,4,3,65.79,1074
8,2.67,60.77,17,6,8,20,0,0,5,5,2,2,58.41,388
4,15.64,71.37,12,4,2,23,1,0,0,3,1,2,66.78,507
7,5.58,65.22,12,7,5,18,0,0,28,6,4,1,56.12,940
12,9.46,46.58,8,2,5,17,0,0,24,7,3,2,79.88,679
5,11.61,30.25,14,2,5,17,0,1,2,5,1,2,34.0,1109
7,18.65,54.79,16,6,9,12,0,1,44,7,4,1,88.4,1010
11,16.43,13.92,10,4,2,20,0,1,43,8,5,0,70.23,116
11,31.29,25.97,14,5,3,12,1,0,15,6,1,3,58.27,258
6,6.61,68.16,10,9,4,4,0,0,3,11,6,1,89.0,1024
9,24.75,58.79,13,0,3,23,0,0,6,11,3,2,66.83,637
9,30.56,47.28,7,6,1,3,1,1,2,6,5,2,86.09,1027
10,8.41,90.56,14,3,2,24,1,0,9,3,1,3,66.83,770
10,13.81,59.92,9,2,3,19,3,0,24,6,3,0,52.21,481
18,10.79,53.3,24,5,1,11,2,0,23,5,0,4,85.79,132
6,1.56,31.43,9,9,3,9,0,0,44,9,1,0,71.76,109
11,9.22,16.01,15,6,2,11,2,0,36,5,2,2,59.85,953
8,3.95,5.0,10,8,5,12,0,0,1,6,3,1,83.62,1161
3,21.24,41.75,16,4,6,22,2,1,17,7,2,2,86.15,303
5,11.55,33.19,19,2,4,10,1,0,10,5,3,1,61.01,599
11,4.04,49.86,19,2,4,18,1,0,44,4,5,5,76.85,806
8,14.99,71.79,9,5,4,5,2,0,10,6,6,2,82.21,535
10,20.83,83.03,13,4,3,20,1,1,43,7,2,4,56.38,677
8,9.53,60.6,13,8,6,22,0,0,13,4,3,4,54.48,204
7,35.61,59.69,10,5,6,12,0,0,3,1,3,1,76.13,852
9,22.26,16.85,13,6,7,8,0,0,4,12,4,2,59.61,820
7,17.33,25.1,12,7,3,12,1,0,26,7,3,2,56.76,934
12,20.77,15.83,12,8,5,3,2,1,22,8,2,2,62.23,634
4,12.72,56.09,5,9,6,15,0,0,14,7,4,1,45.38,425
16,2.38,52.45,16,7,2,15,0,0,14,5,4,0,54.22,1097
7,16.71,28.13,14,0,6,15,0,0,28,5,2,2,65.35,556
4,22.81,62.16,20,3,4,10,0,1,18,4,2,1,96.94,1082
12,11.33,31.48,12,4,8,10,0,0,34,8,2,4,38.45,1198
13,13.4,64.1,13,5,6,13,0,1,32,8,6,2,68.58,701
5,14.82,9.59,11,7,1,4,0,0,22,3,2,2,67.38,399
7,6.74,71.36,6,8,1,5,0,0,1,2,2,1,65.01,583
8,25.47,13.51,12,5,6,14,0,1,18,9,7,0,60.37,452
7,5.56,39.33,15,5,4,5,1,1,6,5,1,1,79.24,1026
6,13.96,54.05,15,3,4,20,0,0,27,11,4,2,49.64,383
8,31.3,42.31,11,4,3,7,1,0,36,8,2,0,45.08,217
8,11.44,73.91,12,9,3,13,0,0,20,8,0,1,88.96,7
8,44.46,55.68,13,5,4,12,0,0,14,6,3,1,62.28,64
9,21.01,16.45,8,5,5,23,1,0,32,9,5,3,47.95,654
6,11.14,68.9,9,2,9,15,0,0,27,9,2,3,64.27,371
4,19.33,5.0,17,8,6,24,0,0,23,5,7,3,59.67,324
5,22.41,48.37,10,3,4,10,0,0,28,3,4,1,79.97,98
5,15.71,72.64,10,11,7,12,0,1,9,5,1,1,59.11,1071
12,13.55,60.14,6,4,4,14,0,0,4,7,5,2,85.28,1024
5,6.79,41.87,21,7,4,21,0,0,29,8,1,1,62.95,150
4,17.55,70.87,17,5,3,22,0,0,10,4,3,2,69.36,876
8,6.03,42.28,12,7,4,5,0,0,35,3,0,2,43.85,14
8,10.57,47.31,14,2,3,14,0,0,6,3,4,2,56.84,233
7,1.49,15.51,15,3,1,17,0,1,21,5,6,2,48.02,382
8,26.07,23.1,9,4,3,19,0,0,15,9,2,4,79.29,519
11,17.96,46.44,18,9,4,11,0,0,16,3,6,2,91.46,991
8,18.28,13.66,15,7,5,22,0,0,6,6,3,3,54.49,66
2,9.02,60.5,15,1,2,19,0,0,29,8,3,3,34.21,475
8,6.15,48.86,6,4,3,16,1,0,19,9,2,4,69.87,610
5,19.55,38.58,11,4,4,14,0,1,1,6,7,1,50.08,864
8,16.42,57.22,19,4,5,19,0,0,32,5,2,1,83.09,332
5,30.42,33.45,12,4,4,23,1,0,19,5,4,2,66.28,1166
8,7.79,39.64,10,7,3,22,1,0,12,3,6,3,66.41,682
9,10.43,20.58,6,5,4,16,1,0,33,8,3,2,65.06,432
6,14.46,44.8,15,6,3,10,0,0,17,3,1,0,66.98,736
6,5.3,18.92,8,5,5,12,1,0,39,5,3,0,37.91,588
6,13.04,37.33,15,6,4,11,0,0,11,4,3,0,71.36,397
8,13.0,15.56,6,4,5,21,1,0,27,3,2,0,62.63,1044
9,18.04,36.53,9,5,2,15,0,1,17,12,3,2,62.87,796
9,26.88,52.5,10,3,1,19,0,0,18,3,4,3,62.43,1049
6,3.98,48.31,11,2,4,12,0,0,18,5,4,2,73.22,839
4,11.8,74.91,11,3,9,8,0,0,7,6,4,1,43.5,63
6,9.17,24.92,10,2,5,6,0,0,29,7,3,2,56.52,829
7,7.62,67.46,5,6,5,7,0,0,42,4,2,0,62.07,391
8,9.85,71.71,11,5,1,14,0,1,11,8,1,1,66.74,174
9,8.01,76.87,10,3,5,15,2,0,21,8,0,0,40.14,294
8,16.21,31.23,10,4,4,4,0,1,27,7,3,2,71.16,564
5,9.45,31.43,10,9,3,22,0,0,29,4,4,1,32.59,294
12,14.41,35.1,9,7,3,8,0,0,40,8,4,2,89.58,516
5,8.94,36.06,11,6,4,17,0,1,34,5,0,1,70.05,278
8,19.42,37.55,9,3,3,8,0,0,16,6,3,2,66.45,464
10,5.31,49.98,13,6,6,21,1,0,43,5,1,1,60.94,416
8,13.89,54.98,14,5,1,18,0,0,9,10,3,1,61.29,734
6,16.01,32.56,14,0,6,6,0,0,38,4,4,1,51.61,1107
12,19.69,8.17,19,5,3,5,0,0,42,7,5,2,65.04,603
13,9.8,34.84,16,3,4,5,0,0,4,3,3,1,72.28,296
2,7.32,75.93,7,5,5,24,1,1,17,6,1,4,68.13,688
8,21.85,29.58,10,5,4,6,0,0,38,6,4,1,52.74,217
4,6.79,25.85,9,3,1,24,0,0,18,3,6,4,73.56,1124
15,2.59,7.11,16,5,3,3,1,0,3,5,6,2,70.85,960
8,20.22,82.24,15,6,4,23,2,0,6,5,1,1,67.62,1133
13,10.65,47.52,15,6,1,18,0,0,18,5,6,2,74.87,143
13,9.2,73.15,13,5,2,18,0,1,39,5,3,1,67.25,996
12,12.54,64.15,8,6,4,17,1,0,11,6,1,1,73.17,64
11,7.76,62.19,10,3,6,16,0,0,42,5,5,3,68.72,759
5,7.5,61.77,17,5,3,6,1,0,40,8,4,2,88.22,701
10,3.72,29.71,7,12,3,10,1,1,22,7,5,2,86.58,82
7,7.35,55.66,9,11,4,22,0,0,35,4,3,1,57.84,587
12,14.6,25.02,17,6,1,14,0,1,40,9,3,1,78.95,897
8,0.98,49.02,19,4,3,23,0,2,30,9,3,2,73.95,1129
7,10.79,33.88,11,4,5,17,0,0,28,3,5,5,41.7,750
10,9.84,32.62,9,3,2,7,0,0,18,6,5,4,67.97,7
5,4.07,47.63,6,4,7,14,1,0,21,4,3,1,51.0,1093
10,11.49,34.68,16,5,5,14,0,0,27,5,2,0,52.06,908
9,2.72,51.4,9,7,4,10,0,1,14,7,4,1,72.68,467
9,13.62,34.11,10,1,5,10,0,0,6,4,0,3,61.26,745
7,12.06,60.46,14,5,3,17,0,1,35,4,4,0,60.47,179
5,2.56,29.17,15,5,3,5,0,0,42,2,1,2,93.2,1079
5,20.17,62.28,13,2,2,21,0,0,39,8,3,4,67.15,1070
8,15.81,45.83,15,3,3,19,1,1,1,3,5,2,58.7,208
4,21.67,59.44,10,7,2,14,3,1,29,5,1,4,87.76,841
7,2.42,30.7,9,8,5,15,0,0,44,6,2,1,46.65,840
5,4.43,35.77,7,3,5,16,0,1,38,5,3,4,61.07,869
9,34.22,73.92,13,3,3,9,0,0,31,5,4,3,71.65,729
6,11.43,51.93,7,5,7,13,0,0,0,9,0,2,56.21,1102
5,12.41,93.21,10,4,5,14,3,1,9,10,3,2,70.91,814
10,3.72,58.38,13,5,4,6,0,0,22,5,4,1,55.13,666
7,14.29,50.82,13,4,3,8,0,0,18,3,4,3,60.07,687
11,7.88,61.83,10,5,3,22,0,0,28,5,1,3,74.7,918
5,5.55,89.99,12,8,7,15,0,0,44,7,3,4,61.4,694
8,3.71,37.78,9,7,7,12,1,0,28,2,5,4,66.03,27
9,7.5,26.24,12,3,4,6,0,1,43,5,4,1,71.03,1063
8,14.71,36.69,11,6,1,14,0,0,33,9,4,4,93.02,45
12,10.51,79.59,14,1,5,17,0,0,39,5,4,2,64.45,970
9,2.85,16.24,7,6,3,20,1,0,23,8,0,3,53.54,314
13,9.29,76.83,9,5,3,7,0,2,37,5,3,1,72.36,361
5,33.64,27.01,6,7,3,20,0,0,13,5,3,2,55.51,184
12,8.17,39.58,15,6,9,3,0,1,3,7,4,1,89.46,919
6,13.83,50.61,10,2,3,6,0,0,3,5,3,0,83.36,285
6,19.66,57.29,11,3,8,7,0,1,31,10,5,1,41.01,227
8,1.79,5.0,8,4,5,12,2,0,7,5,1,3,75.88,897
6,2.25,42.61,14,2,6,17,0,0,28,9,4,3,69.86,1102
8,5.66,56.47,12,4,2,10,0,0,21,6,2,0,86.86,683
8,22.15,18.09,13,4,5,6,1,0,7,4,4,0,52.44,537
6,22.84,45.15,17,3,4,5,0,0,4,7,2,2,66.24,445
10,14.15,43.48,14,7,7,5,1,1,9,7,1,4,78.43,812
6,8.89,48.88,14,2,5,18,0,0,14,6,8,2,61.5,1056
8,4.94,33.14,14,5,3,16,0,0,26,1,2,7,73.88,957
